location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-11-02,-19.121,-5.257,-11.505,-19.121,-24.412,2.176,FALSE
North America,2020-11-02,89.38,89.38,89.38,89.38,89.38,64.206,FALSE
Africa,2020-11-09,17.147,61.447,31.801,11.496,-9.492,3.197,FALSE
Latin America and Caribbean,2020-11-09,100.122,100.915,100.122,98.309,97.225,70.751,FALSE
Europe,2020-11-09,93.571,93.588,93.574,93.564,93.558,42.459,FALSE
Asia,2020-11-09,31.392,51.193,41.844,28.545,17.699,5.451,FALSE
Oceania,2020-11-09,-18.947,-4.788,-11.072,-18.947,-24.35,2.2,FALSE
North America,2020-11-09,92.867,92.867,92.867,92.867,92.867,66.333,FALSE
Africa,2020-11-16,18.295,63.835,33.356,12.697,-8.833,3.339,FALSE
Latin America and Caribbean,2020-11-16,102.684,103.515,102.684,100.848,99.725,72.555,FALSE
Europe,2020-11-16,102.657,102.674,102.66,102.65,102.643,46.526,FALSE
Asia,2020-11-16,32.906,53.108,43.489,30.133,18.882,5.682,FALSE
North America,2020-11-16,97.096,97.096,97.096,97.096,97.096,68.686,FALSE
Oceania,2020-11-16,-19.03,-4.525,-10.937,-19.03,-24.568,2.216,FALSE
Africa,2020-11-23,19.36,65.349,34.576,13.791,-8.204,3.504,FALSE
Latin America and Caribbean,2020-11-23,105.298,106.17,105.298,103.411,102.266,74.211,FALSE
Europe,2020-11-23,111.597,111.615,111.6,111.59,111.583,51.039,FALSE
Asia,2020-11-23,34.414,55.147,45.167,31.882,20.033,5.938,FALSE
North America,2020-11-23,101.677,101.677,101.677,101.677,101.677,71.88,FALSE
Oceania,2020-11-23,-19.087,-4.238,-10.783,-19.087,-24.772,2.243,FALSE
Africa,2020-11-30,20.519,67.482,36.178,14.896,-7.5,3.644,FALSE
Latin America and Caribbean,2020-11-30,108.042,108.941,108.042,106.083,104.935,76.085,FALSE
