region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America & Caribbean,2020-09-14,660258572,81.18141662318975,83.3929355164442,83.1541192860676,81.68558378980887,80.29126194458456,79.31009398675906,79.23108135500941,3869.8274788490453,78.97607099691929,58.72332483704581
South Asia,2020-09-14,1918999115,49.658333787911104,74.68466105904253,66.9106825918679,49.92586586521874,31.776192652057563,14.979581358883744,13.382702028115801,-0.06527149401354448,-0.00815893675169306,4.832572421483373
Sub-Saharan Africa,2020-09-14,1211214422,29.492855365003997,44.51566949019813,41.333395989096026,29.492855365003997,1.866934082672635,-15.513864828747062,-17.940256922296005,87.90519052428938,1.8313581359226958,2.127059216935249
Europe & Central Asia,2020-09-14,923927595,49.062897220619,49.302106944101126,49.25852940606771,49.062897220619,48.809947639716206,48.55199153137487,48.54621490171771,2845.5386463972236,48.22946858300379,24.952651511615475
Middle East & North Africa,2020-09-14,493379661,49.222764017383284,56.57351486404302,54.37310030227197,50.11462121307194,45.50482464913771,42.30202914433552,41.64805448931655,735.0690638134996,35.00328875302379,10.01340628834718
East Asia & Pacific,2020-09-14,2362944397,-6.902172295242562,10.149170751453656,5.865877865959361,-0.583704068912217,-6.902172295242562,-9.028460859187911,-9.733466767746812,-221.25800892591246,-5.396536803071036,0.8860591060281305
North America,2020-09-14,376814276,74.299539322939,74.3009331453336,74.30088021685206,74.30021846925497,74.299539322939,74.29930064689627,74.299252809281,297.200915319885,74.30022882997125,55.317442113047754
Other,2020-09-14,3675292,39.55707251758865,77.48572033904989,70.80647625001534,55.570905075254004,39.55707251758865,30.13450282146542,29.487643463232043,242.7485874980759,40.458097916345984,17.44128085605171
Latin America & Caribbean,2020-09-21,660258572,83.67223604368509,85.91039336553148,85.71282298679488,84.16703115196833,82.76710861893554,81.73232744591486,81.69838740053193,3984.4034558992,81.31435624284082,61.059381899247796
South Asia,2020-09-21,1918999115,53.093744186508275,79.58639646074145,72.110272716085845,53.692861076949164,34.03762688469363,17.794225678001045,14.64234059899379,-0.062241528202582955,-0.007780191025322869,5.276710406403705
Sub-Saharan Africa,2020-09-21,1211214422,30.648754401372294,46.74724666725875,42.55390934340897,30.648754401372294,1.7940779351594947,-15.712815896732236,-17.813370568608594,88.7848809192683,1.8496850191514227,2.189227978000414
Europe & Central Asia,2020-09-21,923927595,51.01047417055221,51.24461518641187,51.20450427986072,51.01047417055221,50.7496389544052,50.497637474978646,50.47902603924224,2958.2092800036844,50.13914033904549,25.427475082611856
Middle East & North Africa,2020-09-21,493379661,51.216806051421834,58.77323095698264,56.532979255056404,52.106541524670355,47.345469415114806,43.93619137609306,43.29958531141651,756.8643485094196,36.04115945282951,10.590044772842795
East Asia & Pacific,2020-09-21,2362944397,-6.705422484833087,11.103024921248323,6.7148399337857345,-0.17079195503849906,-6.705422484833087,-9.011883622801314,-9.712676120994242,-221.42381357171448,-5.400580818822304,0.9555067833447627
North America,2020-09-21,376814276,76.39005170818581,76.39149925223447,76.39142224652866,76.3907340361904,76.39005170818581,76.38981361387476,76.38976835931925,305.56298311279426,76.39074577819856,56.705128390623926
Other,2020-09-21,3675292,40.67173357868689,79.2619469525279,73.2274450041682,57.24378220211804,40.67173357868689,30.95742373858618,30.16645284693859,248.83585824182103,41.47264304030351,17.90391076409711
Latin America & Caribbean,2020-09-28,660258572,85.94742147311402,88.2065232314976,88.02091160906576,86.4754217378146,85.00624767092737,83.98919864622052,83.930783662805,4088.9597649780217,83.44815846893921,63.297293927446354
South Asia,2020-09-28,1918999115,56.161465032955434,83.71417529699998,76.66877596939521,56.9319295440862,37.60256994705924,20.979607071418023,16.069733812036226,-0.05921156239162141,-0.007401445298952676,5.694167399342443
Sub-Saharan Africa,2020-09-28,1211214422,31.51213483081184,47.78566572136657,43.413628841641625,31.51213483081184,1.5635804347198905,-16.424603712654335,-19.104975401655988,86.7406959576838,1.8070978324517457,2.2690664428036342
Europe & Central Asia,2020-09-28,923927595,53.191842123688645,53.429500249369724,53.38739442997372,53.191842123688645,52.92676614068091,52.67550231202295,52.641803212660044,3084.4926123411524,52.27953580239242,25.95879323206057
Middle East & North Africa,2020-09-28,493379661,53.36454055295479,61.14742702384595,58.88338320022798,54.32197652891307,49.36200068609672,45.723199213620596,45.143026649194915,782.5504543148055,37.26430734832408,11.179652377279492
