custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
North America,2022-01-17,370982987,296.91383111337734,298.2446361082385,297.87880573094833,297.5273255168718,296.8918213822274,296.42523790540076,296.40890074878337,590.4638304737497,295.23191523687484,238.60096231313162
Latin America and Caribbean,2022-01-24,658737988,357.90468360492895,363.9513254335686,362.7555101452113,358.7945909122049,350.2416223596446,346.46576543438397,344.95074060042475,14796.597764273865,308.26245342237223,236.51683907441512
Asia,2022-01-24,4678110154,210.1919337786126,294.9862225554866,272.9214962472675,231.90347195087398,177.93979818741963,120.37883493509524,108.10702585184936,733.319209951747,14.666384199034937,27.34374802125847
Oceania,2022-01-24,43430556,-22.59514072526049,10.11763807216912,9.793921580012274,-4.027102935581196,-22.59514072526049,-30.270346020320947,-32.82561807891145,-599.8925952786245,-26.082286751244546,12.89362647502525
European Union,2022-01-24,447045744,269.26724469628573,269.26724469628573,269.26724469628573,269.26724469628573,269.26724469628573,269.26724469628573,269.26724469628573,7270.215606799715,269.26724469628573,211.48320793169955
North America,2022-01-24,370982987,303.1891883652649,304.69193720353087,304.3450008883914,303.99029761942785,303.1891883652649,302.6184799656895,302.4631804766264,602.4666793809776,301.2333396904888,243.24996229544078
Latin America and Caribbean,2022-01-31,658737988,364.26020597294377,369.31784588588374,368.8630076258892,364.3893747415661,355.40060114784245,351.5096020176086,350.5965606763392,14917.411000488059,310.7793958435012,238.55482781114483
Asia,2022-01-31,4678110154,214.40371652398395,297.94263729302463,278.468374449824,235.41560167757976,181.347134488886,122.17345704175112,110.20106925071238,735.4455166397634,14.708910332795265,27.587821410386283
Oceania,2022-01-31,43430556,-20.6277837131525,15.577884949281007,12.587729629884372,-0.59314592668246,-20.6277837131525,-28.515990696021763,-30.850355239938533,-598.615821451666,-26.026774845724606,14.362656712630312
European Union,2022-01-31,447045744,271.900088762699,272.2005945869492,272.1899539414522,271.9777422457124,271.58761399544244,271.3687015247683,271.32660712969255,7314.383421624761,270.90308968980594,214.2785929307494
North America,2022-01-31,370982987,308.4403406878095,310.01631856903646,309.7665119278464,309.2088099022049,308.42392356192323,307.5911276119791,307.5294146925121,612.4792303701322,306.2396151850661,248.33833525632807
Latin America and Caribbean,2022-02-07,658737988,369.80221624496266,374.4188292529648,374.0664613170863,369.80221624496266,359.84779787736954,355.45004045380404,355.0759511007359,15012.900544928321,312.7687613526734,240.97870715177277
Asia,2022-02-07,4678110154,218.63557821001802,301.5596257462902,283.2453988702198,238.73218285134467,183.48586879083666,123.66303126670422,112.11152325759838,737.5541301593728,14.751082603187452,27.90619794513429
Oceania,2022-02-07,43430556,-18.99823261642568,18.449044723027274,15.16264189884825,1.6645345302556567,-18.99823261642568,-27.01604716404901,-28.91469923154866,-596.0415740210997,-25.914851044395636,15.532333195703657
European Union,2022-02-07,447045744,274.14898567360393,274.7299802906614,274.7268949240343,274.35099406133617,273.59609683410577,273.18981842487494,273.03316212545076,7349.482324226034,272.20304904540865,217.32839536886408
North America,2022-02-07,370982987,312.3995489102134,314.0574703678907,313.82797624925274,313.2510301899607,312.36036596820543,311.50204625720295,311.35932660602543,620.0117035689092,310.0058517844546,253.3528501133126
Latin America and Caribbean,2022-02-14,658737988,374.24350051324257,378.887196548175,378.6652127207361,374.24350051324257,363.4411654831024,359.3498326408851,358.3126394832605,15099.063285522563,314.5638184483867,243.36068986505754
Asia,2022-02-14,4678110154,221.64765044774296,304.914231570506,287.8348842061649,242.64312869259257,186.17967016895923,124.45935834336619,113.8222490808687,740.6297117888428,14.812594235776855,28.214698846671638
Oceania,2022-02-14,43430556,-17.514054107697582,20.36619487222029,17.350946046356896,3.7495501967996416,-17.514054107697582,-25.733532105344786,-27.53536892513533,-595.1796386932537,-25.877375595358856,16.492495897742288
